,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,yaw,pitch,roll
2810,1.528912549938851e+18,1,0,0,0,-3.12387,-1.3275430000000001,-1.9431040000000002
2820,1.528912550140423e+18,1,0,0,0,0.0707,-1.148521,1.203645
2830,1.5289125503419948e+18,1,0,0,0,1.161484,-1.196931,-0.896806
2840,1.5289125505435666e+18,1,0,0,0,2.252268,-1.245341,-2.997257
2850,1.5289125507451384e+18,1,0,0,0,2.0688590000000002,-1.535141,-3.0955939999999997
2860,1.5289125509467105e+18,1,0,0,0,-0.008576,-1.233673,1.1416620000000002
2870,1.528912551148282e+18,1,0,0,0,0.441749,-1.270808,1.887714
2880,1.528912551349854e+18,1,0,0,0,2.631482,-1.275068,-2.462924
2890,1.5289125515514258e+18,1,0,0,0,0.17836,-1.185155,1.610082
2900,1.5289125517529976e+18,1,0,0,0,-0.19209500000000002,-1.3129389999999999,0.952939
2910,1.5289125519545697e+18,1,0,0,0,1.192547,-1.4074360000000001,2.489382
2920,1.5289125521561413e+18,1,0,0,0,2.7033970000000003,-1.351446,-2.331394
2930,1.5289125523577132e+18,1,0,0,0,0.060049,-1.0786120000000001,1.318643
2940,1.528912552559285e+18,1,0,0,0,-0.4161220000000001,-1.326619,0.698809
2950,1.5289125527608568e+18,1,0,0,0,2.062719,-1.337421,-3.1037619999999997
2960,1.528912552962429e+18,1,0,0,0,-2.941243,-1.487033,-1.724709
2970,1.5289125531640005e+18,1,0,0,0,-0.000653,-1.1377680000000001,1.144142
2980,1.5289125533655724e+18,1,0,0,0,0.13284100000000001,-1.280232,1.363305
2990,1.5289125535671442e+18,1,0,0,0,2.335521,-1.250443,-2.764316
3000,1.528912553768716e+18,1,0,0,0,0.036654,-1.339178,1.358966
3010,1.528912553970288e+18,1,0,0,0,-0.04005,-1.2141790000000001,1.083835
3020,1.5289125541718597e+18,1,0,0,0,0.31663,-1.3174780000000001,1.762177
3030,1.5289125543734316e+18,1,0,0,0,2.734848,-1.280534,-2.354934
3040,1.5289125545750034e+18,1,0,0,0,0.194107,-1.195422,1.652443
3050,1.5289125547765752e+18,1,0,0,0,-0.261155,-1.2886090000000001,0.791098
3060,1.528912554978147e+18,1,0,0,0,1.005592,-1.410984,2.224077
3070,1.528912555179719e+18,1,0,0,0,2.9857709999999997,-1.3144129999999998,-2.12272
3080,1.5289125553812908e+18,1,0,0,0,0.06425399999999999,-1.117592,1.338542
3090,1.5289125555828626e+18,1,0,0,0,-0.151363,-1.280874,1.029854
3100,1.5289125557844344e+18,1,0,0,0,2.158056,-1.29183,-3.1055610000000002
3110,1.5289125559860065e+18,1,0,0,0,-2.7639970000000003,-1.545663,-1.637351
3120,1.528912556187578e+18,1,0,0,0,-0.07794,-1.103885,1.051963
3130,1.52891255638915e+18,1,0,0,0,0.13742200000000002,-1.291505,1.432855
3140,1.5289125565907218e+18,1,0,0,0,2.260132,-1.293032,-2.804904
3150,1.5289125567922936e+18,1,0,0,0,0.098187,-1.4075870000000001,1.406488
3160,1.5289125569938657e+18,1,0,0,0,-0.08766499999999999,-1.2275040000000002,1.075549
3170,1.5289125571954373e+18,1,0,0,0,0.519339,-1.280001,1.771759
3180,1.5289125573970092e+18,1,0,0,0,2.518147,-1.300722,-2.579627
3190,1.528912557598581e+18,1,0,0,0,0.093929,-1.17889,1.51496
3200,1.5289125578001528e+18,1,0,0,0,-0.4767270000000001,-1.290255,0.5886
3210,1.528912558001725e+18,1,0,0,0,0.7758430000000001,-1.4350399999999999,1.9039560000000002
3220,1.5289125582032965e+18,1,0,0,0,3.115787,-1.3646280000000002,-2.03816
3230,1.5289125584048684e+18,1,0,0,0,0.049655,-1.129739,1.1140459999999999
